ID_Publicacion,Usuario_Handle,Plataforma,Perfil_Usuario,Tipo_Publicacion,Contenido_Reciclado,antiguedad_cuenta_dias,Velocidad_Viralizacion,Corroboraciones_Independientes,recon_error,score_anomalia,indice_sospecha
1,@voznocturna14,X,AnÃ³nimo,TranscripciÃ³n de audio/video,No,3.0,300.0,0,0.2996173063253408,100.0,67.48125468626176
2,@novavolt_oficial,X,Verificado,Post original,No,1217.0,7.0,0,0.059360417491798934,18.40102676747141,19.862317753893304
3,@urbankrew_oficial,X,Verificado,Post original,No,1799.0,5.6,0,0.054657431094221574,15.897387542789815,16.13239356827335
4,@pulsotech_oficial,X,Verificado,Post original,No,1603.0,7.1,0,0.04936261896427517,13.078689333778955,17.457087394816384
5,@cifras_clarasco,X,AnÃ³nimo,Comentario,No,620.0,0.6,1,0.12248827299816385,52.00719992101979,41.6659685078729
6,@ing_streamplat,X,Verificado,Post original,No,1450.0,0.9,1,0.041979315128761754,9.148180604292584,17.999765058735118
7,@vitodoclarito,TikTok,Cuenta_Nueva,Comentario,No,5.0,16.2,0,0.14501414034040216,63.99886655162146,52.498757810543765
8,@fuenteanonima_bog,X,AnÃ³nimo,Comentario,No,340.0,25.5,0,0.14529804337013918,64.15000259607648,45.07553111721503
9,@yo_estuve_ahi22,X,Cuenta_Nueva,Comentario,No,12.0,19.0,0,0.15852608705239873,71.19196407097394,52.64168541197611
10,@revisatechco,X,Verificado,Repost/Cita,Posible (similar a una publicaciÃ³n anterior),2100.0,22.0,1,0.07859900238055681,28.642705497325444,18.344947096554304
11,@memoriadeinternet,X,Fan_Antiguo,Comentario,No,980.0,5.0,0,0.04644585424046778,11.525946894325271,27.459864200615403
12,@RedFactCheckCo,X,Verificado,Post original,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),3000.0,5.0,1,0.05848206236479928,17.93343359086998,8.588019661750119
13,@ChequeoDigitalCO,X,Verificado,Post original,No,1100.0,2.5,3,0.060798509410379134,19.166596350643015,20.293384987086004
14,@ChequeoDigitalCO,X,Verificado,Post original,No,1100.0,6.2,1,0.05301924689819165,15.025298647838564,20.54005165375185
15,@DatosClarosCo,X,Verificado,Post original,No,2400.0,3.7,2,0.060321888850642345,18.912866948137953,12.25041572940016
